zcta,under_100_FPL,less_12_education,non_employment,renting,crowded,single_parent_family,no_vehicle_households
795,0.451795041,0.240499351,0.547729749,0.250427877,0.029027179,0.19541581,0.141028274
901,0.32102476,0.140608604,0.532117213,0.552089643,0.026347668,0.119496855,0.397940642
906,0,0,0.132743363,0,0.294871795,0.5,0
907,0.261830034,0.085835065,0.3442228,0.381058561,0.031803779,0.134127789,0.16570825
909,0.438284721,0.129402348,0.401360544,0.5908,0.014,0.443494777,0.298
911,0.27434629,0.130918728,0.350567465,0.517185822,0.022824919,0.20505992,0.22556391
912,0.342166104,0.195407187,0.368214198,0.473214286,0.026071429,0.13239645,0.179642857
913,0.753483082,0.203050763,0.621426663,0.814563107,0.011650485,0.564497041,0.529773463
915,0.655709833,0.34372093,0.531138848,0.594002632,0.034404963,0.30910683,0.375446513
917,0.506964091,0.2086908,0.531726908,0.491901108,0.025088296,0.202002053,0.324442821
918,0.287739103,0.083072729,0.382670764,0.509899749,0.015162907,0.201113861,0.238345865
920,0.362096961,0.167542457,0.37267411,0.463959534,0.021778839,0.204718417,0.158774765
921,0.470069765,0.168131322,0.4541349,0.52978997,0.015573653,0.31519037,0.209387055
923,0.495159967,0.206646252,0.506214331,0.550300372,0.02851149,0.252907481,0.297225136
924,0.468796227,0.158279634,0.475771885,0.484363895,0.020205097,0.321239873,0.221342268
925,0.599722717,0.283807169,0.388931008,0.803474484,0.012305465,0.220626632,0.443358668
926,0.261731517,0.11049432,0.388546967,0.2706649,0.015060974,0.169411663,0.129464889
927,0.212753581,0.070328008,0.359985307,0.467198723,0.0103751,0.156193353,0.125618516
934,0,0,0.71875,1,0,0,0
949,0.333584794,0.14958566,0.394266885,0.259154819,0.028825442,0.197002517,0.073199389
951,0.523489933,0.325791855,0.423529412,0.682926829,0,0.222222222,0.268292683
952,0.445452317,0.267364415,0.460201462,0.366794136,0.034098152,0.111227702,0.198852772
953,0.318084574,0.150885767,0.437016756,0.185734716,0.028110476,0.192570811,0.065516625
956,0.377878277,0.189942083,0.433836137,0.295994214,0.013901724,0.198878549,0.108883442
957,0.355152141,0.170601574,0.468422686,0.269208211,0.008797654,0.163068872,0.130531118
959,0.339032669,0.12534658,0.410047815,0.348141986,0.013144759,0.202774166,0.127066001
961,0.286714727,0.138521193,0.423945486,0.314206706,0.015986865,0.153792913,0.141807812
962,0.519229787,0.254822117,0.553325072,0.441053183,0.029473408,0.280628481,0.267618549
965,0.577462047,0.340111845,0.579332273,0.385029354,0.022994129,0.280717489,0.22260274
966,0.195294404,0.064404876,0.403547907,0.273090518,0.017365914,0.121308274,0.100660827
968,0.094541362,0.039499671,0.303524461,0.229007634,0,0.1,0.152671756
969,0.192512471,0.081724041,0.363368802,0.272575143,0.011713973,0.13842436,0.080968012
971,0.33563842,0.224443036,0.389850917,0.314291671,0.025643699,0.161317009,0.107369957
976,0.307108136,0.134461498,0.397946085,0.287115622,0.025248433,0.161501017,0.100951081
979,0.217898602,0.090165714,0.361765269,0.33945268,0.022348917,0.08507109,0.090649943
982,0.415962441,0.143765524,0.506529292,0.36336651,0.023572551,0.265328874,0.120831151
983,0.333742331,0.108324931,0.390140696,0.3494872,0.026775229,0.244964029,0.108979879
985,0.292456359,0.138316324,0.430001026,0.304435484,0.038951613,0.184569952,0.153790323
987,0.303250506,0.129488325,0.389232915,0.258219926,0.035810073,0.219280719,0.089798351
1001,0.071364279,0.066780822,0.237920168,0.271970957,0.011344728,0.127052286,0.10376645
1002,0.221961333,0.02118501,0.345759886,0.515258483,0.017877477,0.099798387,0.13094967
1003,0.065217391,0,0.720150188,1,0,0,0
1005,0.088888889,0.058788948,0.237422771,0.058298632,0.01189768,0.055555556,0.01189768
1007,0.082552083,0.024443858,0.180160692,0.155290102,0.006205399,0.055886395,0.070121005
1008,0.032599837,0.050829876,0.232142857,0.054613936,0.016949153,0.020527859,0
1009,0.151645207,0.066801619,0.333333333,0.403908795,0,0.212290503,0.029315961
1010,0.060754001,0.035362742,0.298408488,0.133108108,0.008108108,0.095643939,0.02972973
1011,0.091805766,0.074736842,0.297794118,0.193359375,0.015625,0.086567164,0.021484375
1012,0.093181818,0.065155807,0.162068966,0.237373737,0,0.121212121,0.060606061
1013,0.176966419,0.13774264,0.27418142,0.486096257,0.018181818,0.243233083,0.133368984
1020,0.135296064,0.143162108,0.315448613,0.366989708,0.007061829,0.177810614,0.095860566
1022,0.192164179,0.04600639,0.457383966,0.284122563,0.019498607,0.175257732,0.065923863
1026,0.068033551,0.0243309,0.318597561,0.187891441,0,0.192307692,0.035490605
1027,0.087207984,0.060247093,0.228413793,0.369277248,0.011968394,0.157683831,0.062630723
1028,0.035646807,0.050579557,0.203879356,0.152635983,0.002008368,0.085714286,0.077154812
1029,0.026565465,0.142857143,0.260997067,0.078838174,0,0,0
1030,0.057353412,0.029952648,0.251558753,0.234595248,0.007853403,0.062203791,0.054973822
1031,0.200353565,0.07627907,0.281767956,0.480769231,0.038461538,0.131707317,0.073964497
1032,0.099173554,0.007772021,0.161812298,0.112068966,0.012931034,0.023622047,0.030172414
1033,0.050041152,0.066133109,0.157921039,0.103127327,0.002978407,0.056519584,0.043186895
1034,0.063476563,0.032786885,0.273535953,0.054567023,0.003558719,0.07628524,0.002372479
1035,0.044642857,0.030968057,0.222503161,0.256134309,0.0038743,0.064953605,0.034438226
1036,0.023464599,0.025169897,0.234633179,0.048198884,0,0.020611702,0.023845764
1037,0.016304348,0.04496788,0.377483444,0.101167315,0,0.061538462,0
1038,0.065279478,0.033204206,0.189067524,0.260869565,0,0.072423398,0
1039,0.039351852,0.010181818,0.169027384,0.116666667,0,0.112676056,0.008333333
1040,0.260108614,0.211664406,0.395631269,0.58496559,0.026667549,0.2577951,0.179393859
1050,0.119126896,0.071755725,0.211325161,0.177858439,0,0.101109741,0.034482759
1053,0.110486891,0.049254699,0.489516864,0.218328841,0,0.13258427,0.088948787
1054,0.093049327,0.049680625,0.197355036,0.116531165,0.010840108,0.123173278,0.012195122
1056,0.097369202,0.123400129,0.273426625,0.259821219,0.006116208,0.124224644,0.056574924
1057,0.105372915,0.085427935,0.284756458,0.164411172,0.019291679,0.100042034,0.057875036
1060,0.119373501,0.061201228,0.259322203,0.542687052,0.022189149,0.154267589,0.131511298
1062,0.10417803,0.063633865,0.287089872,0.230014361,0.006701771,0.109090909,0.056007659
1063,0,0,0.590581451,1,0,0,0
1066,0.619402985,0.244094488,0.796875,0,0,0,0
1068,0.052531646,0.069340017,0.323076923,0.068515498,0.014681892,0.034858388,0.019575856
1069,0.075705273,0.159476117,0.253034547,0.254677755,0.014293139,0.177622378,0.071725572
1070,0.153169014,0.022321429,0.227586207,0.095785441,0.007662835,0.104575163,0
1071,0.038125496,0.046286329,0.301178992,0.116981132,0,0.079787234,0.018867925
1072,0.043170559,0.012248469,0.325892857,0.109120521,0.019543974,0.128019324,0.034201954
